Session Code,Product,Topic,Disclaimer,Session Data Update,Title,Abstract,Track,Type,Delivery,Times Offered
1908,"Tableau Agent,Tableau Desktop",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,From Rookie to Data Rockstar: 50 Essential Tableau Tips,"Master shortcuts, advanced visuals, and best practices to enhance data analysis. Boost productivity and create dynamic dashboards that captivate and inform",Tableau,Hands-on Training,In-Person,4
1017,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,How to Do Cool Stuff in Tableau,"Join twin brothers and Hall of Fame visionaries Ken and Kevin Flerlage as they unveil a bunch of cool new tricks, tips, and techniques in Tableau to take your vizzing game to the next level.",Tableau,Breakout,"Broadcast,In-Person,VOD",1
1935,"Tableau Cloud,Tableau Next,Tableau Public","Analytics,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Dash Smarter, Not Harder: Designing Impactful Dashboards","Learn how best practices for data visualization, user experience, and storytelling can equip you to create really awesome dashboards.",Designer,Hands-on Training,In-Person,4
8000,Agentforce,Artificial Intelligence,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Data and Analytics for the Agentic Era,Join DataFam as we kick off the data event of the year. Hear from thought leaders who are shaping the future of analytics. Discover how Tableau is changing the game with innovations like Agentforce.,Main Keynote,Main Keynote,"Broadcast,In-Person,VOD",1
8005,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Iron Viz,"Three viz-whizzes take the stage to build a data viz in 20 minutes or less, but only one will be crowned the next Iron Viz Champion. ",Special,Keynote,"Broadcast,In-Person,VOD",1
1210,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,6 Step Road Map to Impactful Vizzes,Learn a six-step process to creating impactful and effective data visualizations from a Tableau Visionary and Iron Viz Champion. Go from a blank workbook to a compelling data story seamlessly.,Tableau,Breakout,"In-Person,VOD",2
1582,"Tableau Cloud,Tableau Desktop,Tableau Server","Analytics,Data Model","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Speed Up Dashboards with These Tips and Tricks,Slow data sources and inefficient design degrade dashboard performance and the happiness of your consumers. Learn techniques and resources to speed up Tableau and make your consumers productive.,Tableau,Theater,In-Person,2
1916,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,From Static to Dynamic: A Guide to Sets and Parameters,"Unlock the power of sets and parameters to build dynamic, interactive visuals. Learn to enhance filtering, comparisons, and user-driven analysis, making your dashboards more flexible and insightful.",Tableau,Hands-on Training,In-Person,4
1073,Data Cloud,Artificial Intelligence,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Build and Use Predictive Models with Data Cloud and Tableau,Learn to build predictive models for customer attrition with Data Cloud and visualize insights in Tableau. Unlock powerful forecasts to drive smarter decisions and retain your customers effectively.,Data Cloud,Breakout,In-Person,2
1934,Tableau Desktop,"Analytics,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Bon Voyage to Boring Dashboards: Tableau Actions 101,"Learn the basics of dashboard interactivity, including quick filters, parameters, and basic actions like navigation and filtering.",Designer,Hands-on Training,In-Person,4
