End DateTime,Start DateTime,Session Code,Room,End Time,Date,Start Time,Length,Disclaimer
4/16/2025 4:00:00 PM,4/16/2025 2:30:00 PM,1908,Hands-on Training 20C | Upper Level East,4:00 PM,4/16/2025,2:30 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 9:30:00 AM,4/15/2025 8:00:00 AM,1908,Hands-on Training 20D | Upper Level East,9:30 AM,4/15/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 11:30:00 AM,4/16/2025 10:00:00 AM,1908,Hands-on Training 20D | Upper Level East,11:30 AM,4/16/2025,10:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 1:30:00 PM,4/15/2025 12:00:00 PM,1908,Hands-on Training 30C | Upper Level East,1:30 PM,4/15/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 11:00:00 AM,4/17/2025 10:00:00 AM,1017,Keynote Room,11:00 AM,4/17/2025,10:00 AM,60,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/17/2025 9:30:00 AM,4/17/2025 8:00:00 AM,1935,Hands-on Training 20A | Upper Level East,9:30 AM,4/17/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 1:30:00 PM,4/15/2025 12:00:00 PM,1935,Hands-on Training 20D | Upper Level East,1:30 PM,4/15/2025,12:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 3:30:00 PM,4/16/2025 2:00:00 PM,1935,Hands-on Training 20D | Upper Level East,3:30 PM,4/16/2025,2:00 PM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/16/2025 9:30:00 AM,4/16/2025 8:00:00 AM,1935,Hands-on Training 30C | Upper Level East,9:30 AM,4/16/2025,8:00 AM,90,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
4/15/2025 11:00:00 AM,4/15/2025 10:00:00 AM,8000,Keynote Room,11:00 AM,4/15/2025,10:00 AM,60,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference."
