Region,Segment,Category,Sub-Category,YearMonth,Budget
Central,Consumer,Furniture,Bookcases,2022-06,195.67
Central,Consumer,Furniture,Bookcases,2022-09,589.43
Central,Consumer,Furniture,Bookcases,2022-11,528.21
Central,Consumer,Furniture,Bookcases,2023-01,1277.61
Central,Consumer,Furniture,Bookcases,2023-03,457.57
Central,Consumer,Furniture,Bookcases,2023-07,1182.6
Central,Consumer,Furniture,Bookcases,2023-11,645.74
Central,Consumer,Furniture,Bookcases,2023-12,481.08
Central,Consumer,Furniture,Bookcases,2024-03,240.79
Central,Consumer,Furniture,Bookcases,2024-08,161.68
Central,Consumer,Furniture,Bookcases,2024-09,2466.31
Central,Consumer,Furniture,Bookcases,2024-11,1706.2
Central,Consumer,Furniture,Bookcases,2024-12,539.69
Central,Consumer,Furniture,Bookcases,2025-03,926.56
Central,Consumer,Furniture,Bookcases,2025-05,193.5
Central,Consumer,Furniture,Bookcases,2025-06,395.55
Central,Consumer,Furniture,Bookcases,2025-08,171.82
Central,Consumer,Furniture,Bookcases,2025-10,365.73
Central,Consumer,Furniture,Bookcases,2025-11,379.9
Central,Consumer,Furniture,Bookcases,2025-12,628.95
Central,Consumer,Furniture,Chairs,2022-02,56.42
Central,Consumer,Furniture,Chairs,2022-03,321.73
Central,Consumer,Furniture,Chairs,2022-04,302.34
Central,Consumer,Furniture,Chairs,2022-05,590.41
Central,Consumer,Furniture,Chairs,2022-06,670.06
Central,Consumer,Furniture,Chairs,2022-08,443.47
Central,Consumer,Furniture,Chairs,2022-09,2699.76
Central,Consumer,Furniture,Chairs,2022-10,286.91
Central,Consumer,Furniture,Chairs,2022-11,2509.87
Central,Consumer,Furniture,Chairs,2022-12,3906.57
Central,Consumer,Furniture,Chairs,2023-01,188.68
Central,Consumer,Furniture,Chairs,2023-03,867.47
Central,Consumer,Furniture,Chairs,2023-04,562.53
Central,Consumer,Furniture,Chairs,2023-05,3845.07
Central,Consumer,Furniture,Chairs,2023-06,229.79
Central,Consumer,Furniture,Chairs,2023-07,1255.2
Central,Consumer,Furniture,Chairs,2023-09,1777.07
Central,Consumer,Furniture,Chairs,2023-10,2838.77
Central,Consumer,Furniture,Chairs,2023-11,1630.67
Central,Consumer,Furniture,Chairs,2023-12,1202.3
Central,Consumer,Furniture,Chairs,2024-03,467.12
Central,Consumer,Furniture,Chairs,2024-04,96.3
Central,Consumer,Furniture,Chairs,2024-05,859.76
Central,Consumer,Furniture,Chairs,2024-06,98.02
Central,Consumer,Furniture,Chairs,2024-07,44.56
Central,Consumer,Furniture,Chairs,2024-09,1108.28
Central,Consumer,Furniture,Chairs,2024-10,59.87
Central,Consumer,Furniture,Chairs,2024-11,819.6
Central,Consumer,Furniture,Chairs,2024-12,4009.47
Central,Consumer,Furniture,Chairs,2025-01,522.38
Central,Consumer,Furniture,Chairs,2025-02,603.75
Central,Consumer,Furniture,Chairs,2025-03,2908.08
Central,Consumer,Furniture,Chairs,2025-04,352.62
Central,Consumer,Furniture,Chairs,2025-05,1215.19
Central,Consumer,Furniture,Chairs,2025-07,1518.73
Central,Consumer,Furniture,Chairs,2025-09,1529.67
Central,Consumer,Furniture,Chairs,2025-10,491.39
Central,Consumer,Furniture,Chairs,2025-11,1533.81
Central,Consumer,Furniture,Chairs,2025-12,2651.04
Central,Consumer,Furniture,Furnishings,2022-01,321.84
Central,Consumer,Furniture,Furnishings,2022-02,314.24
Central,Consumer,Furniture,Furnishings,2022-03,58.43
Central,Consumer,Furniture,Furnishings,2022-04,5.94
Central,Consumer,Furniture,Furnishings,2022-05,128.81
Central,Consumer,Furniture,Furnishings,2022-06,60.91
Central,Consumer,Furniture,Furnishings,2022-07,17.58
Central,Consumer,Furniture,Furnishings,2022-09,863.73
Central,Consumer,Furniture,Furnishings,2022-10,44.08
Central,Consumer,Furniture,Furnishings,2022-11,67.57
Central,Consumer,Furniture,Furnishings,2022-12,236.51
Central,Consumer,Furniture,Furnishings,2023-01,52.47
Central,Consumer,Furniture,Furnishings,2023-02,23.73
Central,Consumer,Furniture,Furnishings,2023-03,323.51
Central,Consumer,Furniture,Furnishings,2023-04,6.66
Central,Consumer,Furniture,Furnishings,2023-05,157.12
Central,Consumer,Furniture,Furnishings,2023-06,83.22
Central,Consumer,Furniture,Furnishings,2023-07,8.23
Central,Consumer,Furniture,Furnishings,2023-08,212.44
Central,Consumer,Furniture,Furnishings,2023-09,25.24
Central,Consumer,Furniture,Furnishings,2023-10,149.0
