id,title,date,start_time,end_time,session_slot,topic,description
1309_slot0,3 Ways to Visualize Outliers in Tableau,2025-04-16,13:00,13:20,13:00 - 13:20,"Analytics, Visualization","Agentforce makes uncovering statistical insights a breeze, but how do you present those findings effectively to stakeholders? Get tips and best practices from the author of “Statistical Tableau.”"
1309_slot1,3 Ways to Visualize Outliers in Tableau,2025-04-17,08:30,08:50,8:30 - 8:50,"Analytics, Visualization","Agentforce makes uncovering statistical insights a breeze, but how do you present those findings effectively to stakeholders? Get tips and best practices from the author of “Statistical Tableau.”"
1511_slot0,5 Dashboard Pitfalls Learned From Homeownership,2025-04-15,15:00,15:40,15:00 - 15:40,"DataFam, Visualization","Building dashboards is like owning a home — both require planning and organization. Learn to avoid five common pitfalls with tips, stories, and techniques for better user experience and functionality."
1511_slot1,5 Dashboard Pitfalls Learned From Homeownership,2025-04-17,12:30,13:10,12:30 - 13:10,"DataFam, Visualization","Building dashboards is like owning a home — both require planning and organization. Learn to avoid five common pitfalls with tips, stories, and techniques for better user experience and functionality."
1439_slot0,6 Data Engineering Practices Every Developer Needs to Know,2025-04-16,13:30,14:10,13:30 - 14:10,"Data Model, Visualization",Discover how Tableau developers can leverage key data engineering concepts to enhance their workflows and collaborate effectively with technical teams to enhance dashboard impact.
1439_slot1,6 Data Engineering Practices Every Developer Needs to Know,2025-04-17,14:00,14:40,14:00 - 14:40,"Data Model, Visualization",Discover how Tableau developers can leverage key data engineering concepts to enhance their workflows and collaborate effectively with technical teams to enhance dashboard impact.
1210_slot0,6 Step Road Map to Impactful Vizzes,2025-04-15,15:30,16:10,15:30 - 16:10,"DataFam, Visualization",Learn a six-step process to creating impactful and effective data visualizations from a Tableau Visionary and Iron Viz Champion. Go from a blank workbook to a compelling data story seamlessly.
1210_slot1,6 Step Road Map to Impactful Vizzes,2025-04-17,11:30,12:10,11:30 - 12:10,"DataFam, Visualization",Learn a six-step process to creating impactful and effective data visualizations from a Tableau Visionary and Iron Viz Champion. Go from a blank workbook to a compelling data story seamlessly.
1983,Accelerate Your Analysis with AI-powered Semantic Modeling,2025-04-16,09:00,09:40,9:00 - 9:40,Artificial Intelligence,Explore how Data Pro streamlines analytics workflows with semantic model curation features such as AI-powered relationship suggestions and automatic calculated fields.
1614_slot0,Accessibility Matters: Universal Design Means Data for All,2025-04-15,12:30,13:10,12:30 - 13:10,"DataFam, Visualization","Build inclusive vizzes by applying accessibility best practices to your dashboard design. Explore principles of universal design, its impact, and key features to ensure better usability for all."
1614_slot1,Accessibility Matters: Universal Design Means Data for All,2025-04-17,13:30,14:10,13:30 - 14:10,"DataFam, Visualization","Build inclusive vizzes by applying accessibility best practices to your dashboard design. Explore principles of universal design, its impact, and key features to ensure better usability for all."
2278,Accessibility Meetup,2025-04-17,11:00,11:45,11:00 - 11:45,,Join fellow data professionals who are passionate about creating more accessible data experiences. Share best practices on how to bring data to all!
1578_slot0,Accessing Your On-Premises and VPC Data with Tableau Cloud,2025-04-15,15:00,15:40,15:00 - 15:40,Data Strategy,"Discover how to securely access data with Tableau Bridge, Data Connect, and Private Connect for Tableau Cloud."
1578_slot1,Accessing Your On-Premises and VPC Data with Tableau Cloud,2025-04-17,12:30,13:10,12:30 - 13:10,Data Strategy,"Discover how to securely access data with Tableau Bridge, Data Connect, and Private Connect for Tableau Cloud."
1823,Achieve Governance Harmony: Powering Tableau with dbt,2025-04-15,15:30,15:50,15:30 - 15:50,"Data Governance, Tableau Partner Network","Explore the growing Tableau and dbt partnership. Learn how integrations enhance the modern analytics stack, streamline workflows, and provide accurate, actionable insights with strong data governance."
